Frequency_Hz,Power_dBm
147980468.75,-65.4114
147990234.38,-21.2622
148000000.00,-15.2480
148009765.62,-21.2618
148019531.25,-65.3595
148029296.88,-65.8102
148039062.50,-66.0400
148048828.12,-66.2794
148058593.75,-66.2819
148068359.38,-66.3708
148078125.00,-66.4039
148087890.62,-66.4454
148097656.25,-66.4131
148107421.88,-66.4620
148117187.50,-66.5725
148126953.12,-66.5813
148136718.75,-66.5959
148146484.38,-66.6174
148156250.00,-66.6169
148166015.62,-66.5850
148175781.25,-66.5240
148185546.88,-66.5159
148195312.50,-66.6598
148205078.12,-66.7033
148214843.75,-66.6717
148224609.38,-66.5705
148234375.00,-66.5803
148244140.62,-66.7434
148253906.25,-66.6793
148263671.88,-66.6615
148273437.50,-66.6221
148283203.12,-66.6386
148292968.75,-66.6821
148302734.38,-66.6440
148312500.00,-66.6604
148322265.62,-66.7142
148332031.25,-66.7073
148341796.88,-66.8362
148351562.50,-66.7289
148361328.12,-66.6761
148371093.75,-66.7518
148380859.38,-66.7232
148390625.00,-66.6587
148400390.62,-66.6994
148410156.25,-66.7158
148419921.88,-66.7129
148429687.50,-66.7320
148439453.12,-66.7882
148449218.75,-66.7723
148458984.38,-66.7341
148468750.00,-66.7737
148478515.62,-66.7202
148488281.25,-66.7123
148498046.88,-66.8365
148507812.50,-66.7966
148517578.12,-66.7036
148527343.75,-66.6888
148537109.38,-66.7469
148546875.00,-66.8210
148556640.62,-66.7773
148566406.25,-66.8153
148576171.88,-66.7906
148585937.50,-66.7522
148595703.12,-66.7357
148605468.75,-66.7613
148615234.38,-66.7760
148625000.00,-66.8720
148634765.62,-66.8446
148644531.25,-66.7577
148654296.88,-66.8088
148664062.50,-66.8809
148673828.12,-66.8333
148683593.75,-66.7500
148693359.38,-66.7510
148703125.00,-66.7981
148712890.62,-66.8316
148722656.25,-66.8234
148732421.88,-66.7397
148742187.50,-66.8182
148751953.12,-66.8648
148761718.75,-66.8531
148771484.38,-66.7836
148781250.00,-66.8299
148791015.62,-66.8986
148800781.25,-66.8158
148810546.88,-66.8282
148820312.50,-66.8294
148830078.12,-66.8055
148839843.75,-66.8831
148849609.38,-66.8812
148859375.00,-66.8203
148869140.62,-66.8611
148878906.25,-66.8273
148888671.88,-66.7823
148898437.50,-66.8401
148908203.12,-66.8882
148917968.75,-66.8334
148927734.38,-66.7863
148937500.00,-66.8086
148947265.62,-66.7880
148957031.25,-66.7818
148966796.88,-66.8208
148976562.50,-66.8739
148986328.12,-66.8345
148996093.75,-66.7827
149005859.38,-66.7488
149015625.00,-66.7483
149025390.62,-66.7077
149035156.25,-66.7479
149044921.88,-66.8275
149054687.50,-66.9045
149064453.12,-66.8868
149074218.75,-66.8094
149083984.38,-66.8108
149093750.00,-66.8801
149103515.62,-66.8989
149113281.25,-66.8575
149123046.88,-66.8887
149132812.50,-66.7915
149142578.12,-66.7711
149152343.75,-66.8506
149162109.38,-66.8303
149171875.00,-66.8307
149181640.62,-66.8278
149191406.25,-66.8793
149201171.88,-66.8559
149210937.50,-66.8745
149220703.12,-66.8985
149230468.75,-66.8381
149240234.38,-66.8017
149250000.00,-66.7875
149259765.62,-66.8114
149269531.25,-66.8505
149279296.88,-66.8384
149289062.50,-66.8557
149298828.12,-66.8563
149308593.75,-66.8914
149318359.38,-66.8331
149328125.00,-66.8487
