# Freq,Power
1.071342685370741487e+08,-9.936585139011651790e+01
1.071543086172344685e+08,-9.896452241282953821e+01
1.071743486973947883e+08,-9.856460653319125242e+01
1.071943887775551081e+08,-9.836634783458252684e+01
1.072144288577154279e+08,-9.832808361687264664e+01
1.072344689378757477e+08,-9.856019173167562997e+01
1.072545090180360675e+08,-9.892225510339559946e+01
1.072745490981963873e+08,-9.829983446599148067e+01
1.072945891783567071e+08,-9.896191770693212675e+01
1.073146292585170269e+08,-9.913376723142600611e+01
1.073346693386773616e+08,-1.002431631701847294e+02
1.073547094188376814e+08,-1.012190863451133112e+02
1.073747494989980012e+08,-9.971592089724185826e+01
1.073947895791583210e+08,-9.934866481017404283e+01
1.074148296593186408e+08,-1.020596738973921589e+02
1.074348697394789606e+08,-1.013605069484403742e+02
1.074549098196392804e+08,-9.942620358935805314e+01
1.074749498997996002e+08,-1.007143488869141521e+02
1.074949899799599200e+08,-1.005275208885681906e+02
1.075150300601202399e+08,-1.005542687155097923e+02
1.075350701402805597e+08,-1.003632821600214413e+02
1.075551102204408795e+08,-1.023390981252565268e+02
1.075751503006011993e+08,-1.027105154125216018e+02
1.075951903807615191e+08,-1.003622042682538194e+02
1.076152304609218389e+08,-1.002260200094145262e+02
1.076352705410821587e+08,-9.975965882473367685e+01
1.076553106212424785e+08,-1.010602082475518984e+02
1.076753507014028132e+08,-1.030524547172608862e+02
1.076953907815631330e+08,-1.004950551647691697e+02
1.077154308617234528e+08,-1.026829873409310494e+02
1.077354709418837726e+08,-1.017218045044948269e+02
1.077555110220440924e+08,-1.023392411681219585e+02
1.077755511022044122e+08,-1.016571908195192435e+02
1.077955911823647320e+08,-1.020087940880201671e+02
1.078156312625250518e+08,-1.009727750446332664e+02
1.078356713426853716e+08,-1.013897779547792055e+02
1.078557114228456914e+08,-1.016255712095964014e+02
1.078757515030060112e+08,-1.018744734232817279e+02
1.078957915831663311e+08,-1.023726625256017115e+02
1.079158316633266509e+08,-1.013119657323646834e+02
1.079358717434869707e+08,-1.011807361644646335e+02
1.079559118236472905e+08,-1.038868872494478097e+02
1.079759519038076103e+08,-1.028831092225945980e+02
1.079959919839679301e+08,-1.041801906471443715e+02
1.080160320641282499e+08,-1.015368839472917699e+02
1.080360721442885697e+08,-1.019536077087224157e+02
1.080561122244489044e+08,-1.037360925523673245e+02
1.080761523046092242e+08,-1.040912515957288775e+02
1.080961923847695440e+08,-1.024710970591361701e+02
1.081162324649298638e+08,-1.026760155875343514e+02
1.081362725450901836e+08,-1.019322920983596390e+02
1.081563126252505034e+08,-1.030578981221245130e+02
1.081763527054108232e+08,-1.010859149157044641e+02
1.081963927855711430e+08,-1.019956288537809428e+02
1.082164328657314628e+08,-1.037465150388257911e+02
1.082364729458917826e+08,-1.030543063697272856e+02
1.082565130260521024e+08,-1.034837278767284801e+02
1.082765531062124223e+08,-1.029285616943658397e+02
1.082965931863727421e+08,-1.037066334399043512e+02
1.083166332665330619e+08,-1.031287716824447074e+02
1.083366733466933817e+08,-1.026938382199462865e+02
1.083567134268537015e+08,-1.017184091967845916e+02
1.083767535070140362e+08,-1.020922700352089123e+02
1.083967935871743560e+08,-1.020538037763585777e+02
1.084168336673346758e+08,-1.042555974575692375e+02
1.084368737474949956e+08,-1.040540774472716095e+02
1.084569138276553154e+08,-1.042275364783578908e+02
1.084769539078156352e+08,-1.036250034163877842e+02
1.084969939879759550e+08,-1.018529679317344119e+02
1.085170340681362748e+08,-1.027236106156656348e+02
1.085370741482965946e+08,-1.039051013265555383e+02
1.085571142284569144e+08,-1.035628112018853670e+02
1.085771543086172342e+08,-1.025310666432339701e+02
1.085971943887775540e+08,-1.024676781478591039e+02
1.086172344689378738e+08,-1.004931270189009496e+02
1.086372745490981936e+08,-1.040321102891045086e+02
1.086573146292585135e+08,-1.023885112408093505e+02
1.086773547094188333e+08,-1.020621459435130589e+02
1.086973947895791531e+08,-1.031925710966232685e+02
1.087174348697394729e+08,-1.036232565689159628e+02
1.087374749498997927e+08,-1.031940962837383609e+02
1.087575150300601125e+08,-1.016219377458874362e+02
1.087775551102204472e+08,-1.033999263564510329e+02
1.087975951903807670e+08,-1.027530014219447736e+02
1.088176352705410868e+08,-1.019784530381999446e+02
1.088376753507014066e+08,-1.017555080440681934e+02
1.088577154308617264e+08,-1.022104898045201935e+02
1.088777555110220462e+08,-1.026002149428009602e+02
1.088977955911823660e+08,-1.036802708390870009e+02
1.089178356713426858e+08,-1.023736456527062728e+02
1.089378757515030056e+08,-1.032225147748447966e+02
1.089579158316633254e+08,-1.038149843570099193e+02
1.089779559118236452e+08,-1.032098486622329006e+02
1.089979959919839650e+08,-1.051116123264724109e+02
1.090180360721442848e+08,-1.026782365966684978e+02
1.090380761523046046e+08,-1.040241406192764941e+02
1.090581162324649245e+08,-1.040339153816134541e+02
1.090781563126252443e+08,-1.037412583218288802e+02
1.090981963927855790e+08,-1.022974498186771370e+02
1.091182364729458988e+08,-1.047025774737346779e+02
1.091382765531062186e+08,-1.023788605690977960e+02
1.091583166332665384e+08,-1.046307963968580879e+02
1.091783567134268582e+08,-1.033108253904837568e+02
1.091983967935871780e+08,-1.022832580091824326e+02
1.092184368737474978e+08,-1.016114224466770679e+02
1.092384769539078176e+08,-1.041200076344213841e+02
1.092585170340681374e+08,-1.038761513681143640e+02
1.092785571142284572e+08,-1.045429212540776120e+02
1.092985971943887770e+08,-1.023961373418826497e+02
1.093186372745490968e+08,-1.044224500600776508e+02
1.093386773547094166e+08,-1.035542780256001123e+02
1.093587174348697364e+08,-1.028048489292685588e+02
1.093787575150300562e+08,-1.029793707274363328e+02
1.093987975951903760e+08,-1.018756885056933896e+02
1.094188376753506958e+08,-1.033914298158087348e+02
1.094388777555110157e+08,-1.032547178580831968e+02
1.094589178356713355e+08,-1.032379372425680231e+02
1.094789579158316553e+08,-1.026773319276724123e+02
1.094989979959919900e+08,-1.013726720251461160e+02
1.095190380761523098e+08,-1.042111235475332620e+02
1.095390781563126296e+08,-1.022412507666704755e+02
1.095591182364729494e+08,-1.028997290377499922e+02
1.095791583166332692e+08,-1.034679602149403337e+02
1.095991983967935890e+08,-1.017773713029306748e+02
1.096192384769539088e+08,-1.024694965103571604e+02
1.096392785571142286e+08,-1.027646979984222924e+02
1.096593186372745484e+08,-1.022846510626752234e+02
1.096793587174348682e+08,-1.034467858385378207e+02
1.096993987975951880e+08,-1.025573722536150285e+02
1.097194388777555078e+08,-1.024944896129910887e+02
1.097394789579158276e+08,-1.038928839581696479e+02
1.097595190380761474e+08,-1.049391945090657003e+02
1.097795591182364672e+08,-1.045148175926502319e+02
1.097995991983968019e+08,-1.014359431779426188e+02
1.098196392785571218e+08,-1.048343785022774597e+02
1.098396793587174416e+08,-1.012381987951484064e+02
1.098597194388777614e+08,-1.027954724288036488e+02
1.098797595190380812e+08,-1.020725903824865952e+02
1.098997995991984010e+08,-1.018085973598015386e+02
1.099198396793587208e+08,-1.016816915505305303e+02
1.099398797595190406e+08,-1.019903713476880966e+02
1.099599198396793604e+08,-1.030486460857226234e+02
1.099799599198396802e+08,-1.045425070287755318e+02
1.100000000000000000e+08,-1.003754769612881574e+02
