Frequency_Hz,Power_dBm
100600742.19,-66.6407
100605625.00,-66.7047
100610507.81,-66.7453
100615390.62,-66.6375
100620273.44,-66.7560
100625156.25,-66.7929
100630039.06,-66.7339
100634921.88,-66.7515
100639804.69,-66.7105
100644687.50,-66.6398
100649570.31,-66.7038
100654453.12,-66.7574
100659335.94,-66.6850
100664218.75,-66.7077
100669101.56,-66.6210
100673984.38,-66.5529
100678867.19,-66.6013
100683750.00,-66.7043
100688632.81,-66.7032
100693515.62,-66.6756
100698398.44,-66.7557
100703281.25,-66.6856
100708164.06,-66.6401
100713046.88,-66.5755
100717929.69,-66.5584
100722812.50,-66.6594
100727695.31,-66.7134
100732578.12,-66.6657
100737460.94,-66.7850
100742343.75,-66.7118
100747226.56,-66.7634
100752109.38,-66.7845
100756992.19,-66.7425
100761875.00,-66.6804
100766757.81,-66.6775
100771640.62,-66.6373
100776523.44,-66.7321
100781406.25,-66.7525
100786289.06,-66.6476
100791171.88,-66.6426
100796054.69,-66.7792
100800937.50,-66.7927
100805820.31,-66.6860
100810703.12,-66.6442
100815585.94,-66.7356
100820468.75,-66.7144
100825351.56,-66.7186
100830234.38,-66.6769
100835117.19,-66.6726
100840000.00,-66.7588
100844882.81,-66.6984
100849765.62,-66.7374
100854648.44,-66.6771
100859531.25,-66.7085
100864414.06,-66.7690
100869296.88,-66.6635
100874179.69,-66.7560
100879062.50,-66.7865
100883945.31,-66.7602
100888828.12,-66.7903
100893710.94,-66.8311
100898593.75,-66.6889
100903476.56,-66.7122
100908359.38,-66.6977
100913242.19,-66.6628
100918125.00,-66.6210
100923007.81,-66.5836
100927890.62,-66.6430
100932773.44,-66.6743
100937656.25,-66.7173
100942539.06,-66.7252
100947421.88,-66.6796
100952304.69,-66.7023
100957187.50,-66.7756
100962070.31,-66.7816
100966953.12,-66.7686
100971835.94,-66.6158
100976718.75,-66.5755
100981601.56,-66.6908
100986484.38,-66.7077
100991367.19,-66.6551
100996250.00,-66.7104
101001132.81,-66.7837
101006015.62,-66.9181
101010898.44,-66.8316
101015781.25,-66.6175
101020664.06,-66.6378
101025546.88,-66.6465
101030429.69,-66.6319
101035312.50,-66.6574
101040195.31,-66.6911
101045078.12,-66.7870
101049960.94,-66.7153
101054843.75,-66.6153
101059726.56,-66.6317
101064609.38,-66.7317
101069492.19,-66.7363
101074375.00,-66.6778
101079257.81,-66.7599
101084140.62,-66.7617
101089023.44,-66.7760
101093906.25,-66.6353
101098789.06,-66.7609
101103671.88,-66.7410
101108554.69,-66.7235
101113437.50,-66.7110
101118320.31,-66.6811
101123203.12,-66.6548
101128085.94,-66.7425
101132968.75,-66.7777
101137851.56,-66.7350
101142734.38,-66.7972
101147617.19,-66.7184
101152500.00,-66.6593
101157382.81,-66.7335
101162265.62,-66.7600
101167148.44,-66.6058
101172031.25,-66.5794
101176914.06,-66.5242
101181796.88,-66.7601
101186679.69,-66.7729
101191562.50,-66.8175
101196445.31,-66.7611
101201328.12,-66.6847
101206210.94,-66.6381
101211093.75,-66.7261
101215976.56,-66.7599
101220859.38,-66.7108
101225742.19,-66.7326
101230625.00,-66.7427
101235507.81,-66.7414
101240390.62,-66.7965
101245273.44,-66.6990
101250156.25,-66.6553
101255039.06,-66.7389
101259921.88,-66.7150
101264804.69,-66.6891
101269687.50,-66.6670
101274570.31,-66.6164
101279453.12,-66.7203
101284335.94,-66.7969
101289218.75,-66.6284
101294101.56,-66.6457
101298984.38,-66.7632
101303867.19,-66.8518
101308750.00,-66.8197
101313632.81,-66.6795
101318515.62,-66.5645
101323398.44,-66.6595
101328281.25,-66.5873
101333164.06,-66.6866
101338046.88,-66.6587
101342929.69,-66.6334
101347812.50,-66.5719
101352695.31,-66.6221
101357578.12,-66.6983
101362460.94,-66.7133
101367343.75,-66.7273
101372226.56,-66.7295
101377109.38,-66.6885
101381992.19,-66.8034
101386875.00,-66.6845
101391757.81,-66.5536
101396640.62,-66.6436
101401523.44,-66.7381
101406406.25,-66.6628
101411289.06,-66.6990
101416171.88,-66.6728
101421054.69,-66.6772
101425937.50,-66.7640
101430820.31,-66.6642
101435703.12,-66.6650
101440585.94,-66.6768
101445468.75,-66.7088
101450351.56,-66.8068
101455234.38,-66.8051
101460117.19,-66.7922
101465000.00,-66.6911
101469882.81,-66.6950
101474765.62,-66.7004
101479648.44,-66.7310
101484531.25,-66.7619
101489414.06,-66.6909
101494296.88,-66.6108
101499179.69,-66.5715
101504062.50,-66.6469
101508945.31,-66.7053
101513828.12,-66.7318
101518710.94,-66.6650
101523593.75,-66.6369
101528476.56,-66.6621
101533359.38,-66.5654
101538242.19,-66.6726
101543125.00,-66.7149
101548007.81,-66.6966
101552890.62,-66.7278
101557773.44,-66.8208
101562656.25,-66.7776
101567539.06,-66.8501
101572421.88,-66.8907
101577304.69,-66.7117
101582187.50,-66.6914
101587070.31,-66.7552
101591953.12,-66.7129
101596835.94,-66.6555
101601718.75,-66.6894
101606601.56,-66.7082
101611484.38,-66.6367
101616367.19,-66.6637
101621250.00,-66.7008
101626132.81,-66.6401
101631015.62,-66.6332
101635898.44,-66.5384
101640781.25,-66.6350
101645664.06,-66.6624
101650546.88,-66.6814
101655429.69,-66.6666
101660312.50,-66.6605
101665195.31,-66.7145
101670078.12,-66.7028
101674960.94,-66.7084
101679843.75,-66.6436
101684726.56,-66.5868
101689609.38,-66.7098
101694492.19,-66.6878
101699375.00,-66.6337
101704257.81,-66.5568
101709140.62,-66.6042
101714023.44,-66.6026
101718906.25,-66.6968
101723789.06,-66.6988
101728671.88,-66.7051
101733554.69,-66.7032
101738437.50,-66.6816
101743320.31,-66.7072
101748203.12,-66.7124
101753085.94,-66.7192
101757968.75,-66.7059
101762851.56,-66.6789
101767734.38,-66.6269
101772617.19,-66.6861
101777500.00,-66.7535
101782382.81,-66.7939
101787265.62,-66.7622
101792148.44,-66.7255
101797031.25,-66.6121
101801914.06,-66.6220
101806796.88,-66.6421
101811679.69,-66.6466
101816562.50,-66.6688
101821445.31,-66.7009
101826328.12,-66.6807
101831210.94,-66.7541
101836093.75,-66.6906
101840976.56,-66.7432
101845859.38,-66.7785
101850742.19,-66.7251
101855625.00,-66.7686
101860507.81,-66.6793
101865390.62,-66.6108
101870273.44,-66.6795
101875156.25,-66.6921
101880039.06,-66.6927
101884921.88,-66.7374
101889804.69,-66.7936
101894687.50,-66.7045
101899570.31,-66.7442
101904453.12,-66.7093
101909335.94,-66.6320
101914218.75,-66.6705
101919101.56,-66.7439
101923984.38,-66.7285
101928867.19,-66.7307
101933750.00,-66.7723
101938632.81,-66.7931
101943515.62,-66.6536
101948398.44,-66.6511
101953281.25,-66.6990
101958164.06,-66.6716
101963046.88,-66.6682
101967929.69,-66.5513
101972812.50,-66.5909
101977695.31,-66.8089
101982578.12,-66.7414
101987460.94,-66.6520
101992343.75,-66.6935
101997226.56,-66.6155
102002109.38,-66.6409
102006992.19,-66.6887
102011875.00,-66.6373
102016757.81,-66.6696
102021640.62,-66.6980
102026523.44,-66.7216
102031406.25,-66.7091
102036289.06,-66.6343
102041171.88,-66.6563
102046054.69,-66.6612
102050937.50,-66.6739
102055820.31,-66.6461
102060703.12,-66.5907
102065585.94,-66.6609
102070468.75,-66.6702
102075351.56,-66.7200
102080234.38,-66.7507
102085117.19,-66.7116
102090000.00,-66.6573
102094882.81,-66.7502
102099765.62,-66.7464
102104648.44,-66.6511
102109531.25,-66.5925
102114414.06,-66.6732
102119296.88,-66.6518
102124179.69,-66.6541
102129062.50,-66.7714
102133945.31,-66.8341
102138828.12,-66.7007
102143710.94,-66.6292
102148593.75,-66.6366
102153476.56,-66.6318
102158359.38,-66.6075
102163242.19,-66.6899
102168125.00,-66.7279
102173007.81,-66.5949
102177890.62,-66.7149
102182773.44,-66.7646
102187656.25,-66.7071
102192539.06,-66.6011
102197421.88,-66.6425
102202304.69,-66.7149
102207187.50,-66.6550
102212070.31,-66.7829
102216953.12,-66.7215
102221835.94,-66.6685
102226718.75,-66.6478
102231601.56,-66.6805
102236484.38,-66.6791
102241367.19,-66.6943
102246250.00,-66.6839
102251132.81,-66.7268
102256015.62,-66.6755
102260898.44,-66.7656
102265781.25,-66.6945
102270664.06,-66.7389
102275546.88,-66.7379
102280429.69,-66.7520
102285312.50,-66.8053
102290195.31,-66.8256
102295078.12,-66.7636
102299960.94,-66.7487
102304843.75,-66.6675
102309726.56,-66.6767
102314609.38,-66.7218
102319492.19,-66.6523
102324375.00,-66.6839
102329257.81,-66.6544
102334140.62,-66.6440
102339023.44,-66.6563
102343906.25,-66.6717
102348789.06,-66.6975
102353671.88,-66.7770
102358554.69,-66.7738
102363437.50,-66.6742
102368320.31,-66.6449
102373203.12,-66.7208
102378085.94,-66.6204
102382968.75,-66.6519
102387851.56,-66.7235
102392734.38,-66.7526
102397617.19,-66.7732
102402500.00,-66.7065
102407382.81,-66.6612
102412265.62,-66.7149
102417148.44,-66.7802
102422031.25,-66.7780
102426914.06,-66.7684
102431796.88,-66.7168
102436679.69,-66.7420
102441562.50,-66.7025
102446445.31,-66.7206
102451328.12,-66.7973
102456210.94,-66.7908
102461093.75,-66.7879
102465976.56,-66.6603
102470859.38,-66.6151
102475742.19,-66.7682
102480625.00,-66.8496
102485507.81,-66.7013
102490390.62,-66.6433
102495273.44,-66.6887
102500156.25,-66.7312
102505039.06,-66.7461
102509921.88,-66.8099
102514804.69,-66.7351
102519687.50,-66.7266
102524570.31,-66.7092
102529453.12,-66.6844
102534335.94,-66.7918
102539218.75,-66.8349
102544101.56,-66.7075
102548984.38,-66.7309
102553867.19,-66.7561
102558750.00,-66.7219
102563632.81,-66.7950
102568515.62,-66.7371
102573398.44,-66.7787
102578281.25,-66.7118
102583164.06,-66.6723
102588046.88,-66.6806
102592929.69,-66.7926
102597812.50,-66.8115
102602695.31,-66.6973
102607578.12,-66.7253
102612460.94,-66.6797
102617343.75,-66.6559
102622226.56,-66.5876
102627109.38,-66.6892
102631992.19,-66.7267
102636875.00,-66.7170
102641757.81,-66.6668
102646640.62,-66.7443
102651523.44,-66.7095
102656406.25,-66.6668
102661289.06,-66.6804
102666171.88,-66.6602
102671054.69,-66.6390
102675937.50,-66.7334
102680820.31,-66.8685
102685703.12,-66.7827
102690585.94,-66.7173
102695468.75,-66.6832
102700351.56,-66.8264
102705234.38,-66.7866
102710117.19,-66.7396
102715000.00,-66.6600
102719882.81,-66.7029
102724765.62,-66.8051
102729648.44,-66.8744
102734531.25,-66.8113
102739414.06,-66.7154
102744296.88,-66.6586
102749179.69,-66.8169
102754062.50,-66.9107
102758945.31,-66.9135
102763828.12,-66.8171
102768710.94,-66.7817
102773593.75,-66.7823
102778476.56,-66.6664
102783359.38,-66.6158
102788242.19,-66.7726
102793125.00,-66.7338
102798007.81,-66.7697
102802890.62,-66.8236
102807773.44,-66.7514
102812656.25,-66.7759
102817539.06,-66.8034
102822421.88,-66.7711
102827304.69,-66.7777
102832187.50,-66.7896
102837070.31,-66.7732
102841953.12,-66.6576
102846835.94,-66.6591
102851718.75,-66.7280
102856601.56,-66.7188
102861484.38,-66.7874
102866367.19,-66.8789
102871250.00,-66.7865
102876132.81,-66.7706
102881015.62,-66.6599
102885898.44,-66.6973
102890781.25,-66.7537
102895664.06,-66.7050
102900546.88,-66.7249
102905429.69,-66.7870
102910312.50,-66.6865
102915195.31,-66.6779
102920078.12,-66.6974
102924960.94,-66.6864
102929843.75,-66.6839
102934726.56,-66.8166
102939609.38,-66.7942
102944492.19,-66.8115
102949375.00,-66.7860
102954257.81,-66.7668
102959140.62,-66.7125
102964023.44,-66.6847
102968906.25,-66.6961
102973789.06,-66.7109
102978671.88,-66.7895
102983554.69,-66.7529
102988437.50,-66.7645
102993320.31,-66.7187
102998203.12,-66.8506
103003085.94,-66.8537
103007968.75,-66.8509
103012851.56,-66.7958
103017734.38,-66.8284
103022617.19,-66.7649
103027500.00,-66.6177
103032382.81,-66.6676
103037265.62,-66.7603
103042148.44,-66.8781
103047031.25,-66.8492
103051914.06,-66.8390
103056796.88,-66.7803
103061679.69,-66.7906
103066562.50,-66.7603
103071445.31,-66.7465
103076328.12,-66.7903
103081210.94,-66.7727
103086093.75,-66.8127
103090976.56,-66.8227
103095859.38,-66.7232
103100742.19,-66.7338
103105625.00,-66.8127
103110507.81,-66.7199
103115390.62,-66.7234
103120273.44,-66.7784
103125156.25,-66.7305
103130039.06,-66.7688
103134921.88,-66.7159
103139804.69,-66.6948
103144687.50,-66.6834
103149570.31,-66.7326
103154453.12,-66.7709
103159335.94,-66.7317
103164218.75,-66.6600
103169101.56,-66.7685
103173984.38,-66.7999
103178867.19,-66.8639
103183750.00,-66.7632
103188632.81,-66.6875
103193515.62,-66.6887
103198398.44,-66.6367
103203281.25,-66.6546
103208164.06,-66.8078
103213046.88,-66.7569
103217929.69,-66.8108
103222812.50,-66.8626
103227695.31,-66.8615
103232578.12,-66.8489
