# Origen Binario: fm_full_dataset.bin
# Frecuencia Central: 80000000 Hz
# Ancho de Banda: 20000000 Hz
# Ganancias: LNA=24 | VGA=10

Frequency_Hz,Power_dBm
74975585.94,-64.2097
74980468.75,-64.1925
74985351.56,-64.1577
74990234.38,-64.0823
74995117.19,-63.4956
75000000.00,-59.8572
75004882.81,-61.7431
75009765.62,-63.7476
75014648.44,-63.9801
75019531.25,-63.9569
75024414.06,-63.9997
75029296.88,-63.9584
75034179.69,-63.9698
75039062.50,-63.9901
75043945.31,-64.0146
75048828.12,-64.0304
75053710.94,-63.8825
75058593.75,-63.7887
75063476.56,-63.8516
75068359.38,-63.9292
75073242.19,-63.8761
75078125.00,-63.8223
75083007.81,-63.8595
75087890.62,-63.8074
75092773.44,-63.6744
75097656.25,-63.6245
75102539.06,-63.6692
75107421.88,-63.7048
75112304.69,-63.7355
75117187.50,-63.8340
75122070.31,-63.8613
75126953.12,-63.7605
75131835.94,-63.8905
75136718.75,-63.9702
75141601.56,-63.9608
75146484.38,-63.9579
75151367.19,-63.8567
75156250.00,-64.0098
75161132.81,-64.2227
75166015.62,-64.1291
75170898.44,-64.0886
75175781.25,-64.0699
75180664.06,-64.1459
75185546.88,-64.0078
75190429.69,-64.1271
75195312.50,-64.2282
75200195.31,-64.1237
75205078.12,-64.1165
75209960.94,-64.0126
75214843.75,-64.0663
75219726.56,-64.1636
75224609.38,-64.2114
75229492.19,-64.1825
75234375.00,-64.2402
75239257.81,-64.1566
75244140.62,-64.0893
75249023.44,-63.9551
75253906.25,-64.0805
75258789.06,-64.1283
75263671.88,-64.1457
75268554.69,-64.2016
75273437.50,-64.1981
75278320.31,-64.0132
75283203.12,-64.0326
75288085.94,-64.0642
75292968.75,-63.9594
75297851.56,-63.9173
75302734.38,-64.0923
75307617.19,-64.0259
75312500.00,-64.0623
75317382.81,-64.0416
75322265.62,-64.0767
75327148.44,-64.1463
75332031.25,-64.0843
75336914.06,-64.0987
75341796.88,-63.8215
